Time,Magnitude
3743,0.936511
3744,0.885196
3745,0.844529
3746,0.821087
3747,0.892774
3748,0.933372
3749,1.041605
3750,0.959494
3751,0.989025
3752,0.974905
3753,1.020603
3754,1.042000
3755,1.047641
3756,1.039146
3757,0.985968
3758,0.901242
3759,0.767828
3760,0.641446
3761,0.624514
3762,0.690051
3763,0.775789
3764,0.947342
3765,1.130824
3766,1.150993
3767,1.062640
3768,0.979963
3769,0.861349
3770,0.788097
3771,0.763589
3772,0.747435
3773,0.812047
3774,0.920144
3775,0.964360
3776,0.950978
3777,0.944567
3778,0.924865
3779,0.894686
3780,0.894392
3781,0.954467
3782,0.986467
3783,1.027913
3784,1.053023
3785,1.087446
3786,1.116261
3787,1.144306
3788,1.166846
3789,1.181592
3790,1.186837
3791,1.186390
3792,1.179933
3793,1.178385
3794,1.186192
3795,1.175735
3796,1.164092
3797,1.161626
3798,1.183311
3799,1.200186
3800,1.189725
3801,1.167741
3802,1.136321
3803,1.104544
3804,1.102156
3805,1.113713
3806,1.126175
3807,1.148101
3808,1.151749
3809,1.139308
3810,1.110727
3811,1.102398
3812,1.160845
3813,1.185495
3814,1.167055
3815,10.686847
3816,0.839786
3817,0.765422
3818,0.752207
3819,0.907608
3820,1.133790
3821,1.258189
3822,1.267470
3823,1.177700
3824,1.067955
3825,0.947744
3826,0.874703
3827,0.878006
3828,0.968816
3829,1.059835
3830,1.110708
3831,1.112326
3832,1.086020
3833,1.037406
3834,0.994315
3835,0.980405
3836,0.967898
3837,0.954277
3838,0.965840
3839,0.996159
3840,1.028704
3841,1.054768
3842,1.070788
3843,1.051396
3844,1.028299
3845,1.028085
3846,1.041856
3847,1.035768
3848,1.034108
3849,1.029805
3850,1.032425
3851,1.032943
3852,1.034230
3853,1.021235
3854,1.017398
3855,1.006238
3856,1.010243
3857,1.011508
3858,1.002072
3859,1.006349
3860,1.015953
3861,1.032926
3862,1.082742
3863,1.154942
3864,1.206867
3865,1.159843
3866,1.077294
3867,1.004609
3868,0.943755
3869,10.758213
3870,0.660893
3871,0.774948
3872,0.945713
3873,1.083337
3874,1.104358
3875,1.076252
3876,1.013866
3877,0.931946
3878,0.876473
3879,0.951149
3880,1.032633
3881,1.080594
3882,1.077730
3883,1.013760
3884,0.978878
3885,0.989254
3886,1.039937
3887,1.043856
3888,1.006883
3889,0.968021
3890,0.914805
3891,0.892380
3892,0.897984
3893,0.923691
3894,0.979631
3895,1.019974
3896,1.052296
3897,1.072363
3898,1.053291
3899,1.016206
3900,1.006441
3901,1.036857
3902,1.074421
3903,1.068863
3904,1.098494
3905,1.115127
3906,1.110178
3907,1.128137
3908,1.118275
3909,1.099179
3910,1.069245
3911,1.038673
3912,1.041613
3913,1.035691
3914,1.047865
3915,1.085156
3916,1.123020
3917,1.128717
3918,1.116445
3919,1.087908
3920,1.053092
3921,1.018786
3922,0.998441
3923,1.013975
3924,1.059588
3925,1.092658
3926,1.118339
3927,1.086602
3928,1.026348
3929,0.975522
3930,0.924793
3931,0.896198
3932,0.904411
3933,0.997871
3934,1.030125
3935,1.082459
3936,1.079187
3937,1.046186
3938,1.049618
3939,1.074342
3940,1.080509
3941,1.037442
3942,1.004007
3943,1.019443
3944,1.038140
3945,1.038811
3946,1.001554
3947,0.968822
3948,0.978349
3949,1.005265
3950,1.021309
3951,1.039280
3952,1.051778
3953,1.065384
3954,1.004176
3955,1.037547
3956,1.056225
3957,1.059571
3958,1.052233
3959,1.012146
3960,0.964316
3961,0.951056
3962,1.009062
3963,1.093822
3964,1.190114
3965,1.267205
3966,1.290157
3967,1.258672
3968,1.204306
3969,1.208873
3970,1.299852
3971,1.400540
3972,1.419879
3973,1.358982
3974,1.352151
3975,1.334617
3976,1.284717
3977,1.237128
3978,1.140391
3979,1.034131
3980,0.936436
3981,0.853701
3982,0.827361
3983,0.818211
3984,0.797763
3985,0.770426
3986,0.721598
3987,0.693799
3988,0.699232
3989,0.727030
3990,0.761837
3991,0.799450
3992,0.830235
3993,0.855285
3994,0.914752
3995,0.912020
3996,0.889027
3997,0.881942
3998,0.892491
3999,0.918089
4000,0.970405
4001,0.989050
4002,0.998204
4003,0.979875
4004,0.954775
4005,0.931789
4006,0.951819
4007,0.985687
4008,0.989178
4009,0.992745
4010,0.997095
4011,0.978937
4012,0.939908
4013,0.907116
4014,0.925553
4015,0.995208
4016,1.053846
4017,1.076920
4018,1.054842
4019,1.006787
4020,0.978008
4021,0.967796
4022,0.993304
4023,1.024880
4024,1.048586
4025,1.069301
